Wahlkreisnr.;Wahlkreisname;Wahlberechtigte insgesamt;Wähler/-innen;Ungültige Stimmen Erststimmen;Ungültige Stimmen Zweitstimmen;Gültige Stimmen Erststimmen;Gültige Stimmen Zweitstimmen;CDU Erststimmen;CDU Zweitstimmen;SPD Erststimmen;SPD Zweitstimmen;GRÜNE Erststimmen;GRÜNE Zweitstimmen;FDP Erststimmen;FDP Zweitstimmen;NPD Erststimmen;NPD Zweitstimmen;DIE LINKE Erststimmen;DIE LINKE Zweitstimmen;REP Erststimmen;REP Zweitstimmen;ödp Erststimmen;ödp Zweitstimmen;BüSo Erststimmen;BüSo Zweitstimmen;PBC Erststimmen;PBC Zweitstimmen;Die Tierschutzpartei Erststimmen;Die Tierschutzpartei Zweitstimmen;FAMILIE Erststimmen;FAMILIE Zweitstimmen;Die PARTEI Erststimmen;Die PARTEI Zweitstimmen;ZENTRUM Erststimmen;ZENTRUM Zweitstimmen;BGD Erststimmen;BGD Zweitstimmen;AUF Erststimmen;AUF Zweitstimmen;PIRATEN Erststimmen;PIRATEN Zweitstimmen;ddp Erststimmen;ddp Zweitstimmen;Freie Union Erststimmen;Freie Union Zweitstimmen;RENTNER Erststimmen;RENTNER Zweitstimmen;pro NRW Erststimmen;pro NRW Zweitstimmen;DIE VIOLETTEN Erststimmen;DIE VIOLETTEN Zweitstimmen;BIG Erststimmen;BIG Zweitstimmen;Volksabstimmung Erststimmen;Volksabstimmung Zweitstimmen;FBI/ Freie Wähler Erststimmen;FBI/ Freie Wähler Zweitstimmen;UAP Erststimmen;UAP Zweitstimmen;ÖkoLinX Erststimmen;ÖkoLinX Zweitstimmen;LD Erststimmen;LD Zweitstimmen;DKP Erststimmen;DKP Zweitstimmen;DP Erststimmen;DP Zweitstimmen;Westfalen Erststimmen;Westfalen Zweitstimmen;SG - NRW Erststimmen;SG - NRW Zweitstimmen;Soziale Mitte Erststimmen;Soziale Mitte Zweitstimmen;Einzelbewerber / -innen Erststimmen;Einzelbewerber / -innen Zweitstimmen
67;Essen III;97552;53932;1100;773;52832;53159;13872;12910;24928;21808;6280;7576;1993;2423;-;460;4204;4408;-;253;-;49;319;104;-;50;-;380;-;176;-;124;-;27;-;2;-;36;-;976;-;13;-;10;-;289;1236;866;-;33;-;103;-;44;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
68;Essen IV;127044;88660;1299;880;87361;87780;34346;31103;33274;29169;10155;12774;4436;6492;-;331;3547;3999;-;194;-;61;353;118;-;47;-;466;-;237;-;131;-;43;-;2;-;45;-;1009;-;28;-;21;-;354;1250;954;-;59;-;42;-;63;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
69;Recklinghausen I;91397;52931;860;680;52071;52251;17651;15556;23132;21477;4296;5201;1731;2460;-;440;3906;3821;-;206;-;32;393;69;-;37;-;336;-;211;-;79;-;20;-;2;-;26;-;739;-;9;-;7;-;247;962;1035;-;32;-;107;-;59;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
70;Recklinghausen II;98922;57421;1022;784;56399;56637;16937;15603;29393;27126;3332;4129;2206;2372;-;481;3901;3637;-;223;-;19;-;19;-;56;-;363;-;227;-;61;-;20;-;3;-;57;-;659;-;9;-;8;-;269;-;1070;-;25;-;106;-;70;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;630;-
71;Recklinghausen III;95829;56442;950;726;55492;55716;17425;15957;27379;24597;3452;4501;2045;2726;-;359;4116;3798;-;225;-;43;-;10;-;49;-;360;1075;398;-;59;-;30;-;5;-;24;-;801;-;16;-;12;-;249;-;1211;-;21;-;182;-;46;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
72;Recklinghausen IV;103950;63639;1041;682;62598;62957;25462;21775;25200;24113;5688;6302;1820;3280;-;372;4428;3843;-;237;-;46;-;18;-;66;-;365;-;266;-;58;-;38;-;3;-;17;-;821;-;13;-;19;-;308;-;799;-;31;-;53;-;72;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
73;Recklinghausen V;96098;55783;1031;795;54752;54988;15862;14693;26782;24870;5248;5680;1970;2551;-;495;3527;3645;-;248;-;24;-;9;-;30;-;361;-;200;-;65;-;23;-;1;-;20;1069;782;-;8;-;11;-;269;-;777;-;33;-;42;-;57;-;94;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;294;-
74;Gelsenkirchen I;100585;54556;859;693;53697;53863;13774;12922;28472;26134;3169;3985;1924;2015;-;358;3456;3640;-;286;-;31;-;20;-;55;-;341;-;212;-;34;-;18;-;5;-;58;762;790;-;6;-;12;-;321;2140;2291;-;21;-;238;-;50;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
75;Gelsenkirchen II;85769;43110;744;549;42366;42561;10561;10051;22643;20069;2739;3277;1436;1464;-;356;3398;3295;-;251;-;24;-;8;-;50;-;275;-;152;-;41;-;15;-;5;-;76;-;647;-;3;-;5;-;236;1589;1761;-;38;-;404;-;44;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
76;Bottrop;90769;54431;875;677;53556;53754;15331;14745;27239;24929;3155;4329;1961;2214;-;433;3440;3477;-;199;1539;660;-;10;-;14;-;398;-;198;-;80;-;17;-;5;-;15;891;776;-;10;-;6;-;254;-;817;-;45;-;49;-;35;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
77;Borken I;109403;66654;918;729;65736;65925;32611;31832;19633;18182;6857;6764;3634;4522;-;279;2162;2195;-;103;-;40;-;9;-;25;-;267;-;233;-;32;-;36;-;5;-;24;839;719;-;13;-;4;-;184;-;318;-;40;-;16;-;39;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
78;Borken II;109182;63827;918;808;62909;63019;34234;31015;17767;16378;4557;5673;3572;5035;-;330;2547;2540;-;107;-;35;-;6;232;101;-;248;-;256;-;36;-;43;-;1;-;26;-;638;-;16;-;6;-;186;-;211;-;32;-;22;-;45;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
79;Coesfeld I - Borken III;110472;71076;876;736;70200;70340;37809;34668;18229;17530;7061;7750;4034;5348;-;274;2077;2263;-;131;-;57;-;7;-;16;839;471;-;299;-;51;-;61;-;4;-;38;-;722;-;9;-;10;-;212;-;303;-;41;-;4;-;40;-;31;-;-;-;-;-;-;-;-;-;-;-;-;151;-;-;-;-;-
80;Coesfeld II;114786;74729;897;756;73832;73973;38064;33915;21830;19959;6634;8372;3505;5454;-;388;2775;2931;-;225;-;65;-;12;-;28;-;378;-;326;-;45;-;41;-;10;-;27;1024;1065;-;16;-;16;-;278;-;286;-;31;-;20;-;45;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
81;Steinfurt I;112814;70534;846;777;69688;69757;34573;30261;21221;20494;6805;8345;3283;5006;-;396;2375;2681;-;109;-;61;-;10;-;48;-;257;-;266;-;70;296;143;-;3;-;32;999;955;-;5;-;3;-;209;-;224;-;25;-;31;-;50;-;73;-;-;-;-;-;-;-;-;-;-;-;-;-;-;136;-;-;-
82;Steinfurt II;109690;66206;700;685;65506;65521;33028;27884;22565;21171;4242;6605;2132;4168;-;370;2523;2852;-;107;-;44;-;11;-;23;-;235;-;206;-;45;-;34;-;3;-;33;1016;1238;-;11;-;6;-;210;-;154;-;20;-;17;-;40;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
83;Steinfurt III;113435;68372;935;787;67437;67585;26408;24376;30125;27484;5290;6695;2752;3825;-;406;2862;2820;-;103;-;38;-;17;-;51;-;214;-;234;-;43;-;19;-;1;-;34;-;716;-;11;-;15;-;193;-;143;-;21;-;49;-;35;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
84;Münster I;105227;71915;809;499;71106;71416;27484;24783;23780;19529;12873;15269;3680;5252;-;286;3289;3373;-;84;-;184;-;5;-;29;-;279;-;149;-;107;-;50;-;4;-;15;-;1405;-;8;-;12;-;180;-;262;-;54;-;18;-;37;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
85;Münster II;106621;70652;841;587;69811;70065;27933;24466;25514;20731;10632;13470;2747;4914;-;271;2985;3354;-;101;-;146;-;10;-;33;-;246;-;167;-;111;-;55;-;6;-;28;-;1312;-;5;-;6;-;230;-;228;-;51;-;19;-;60;-;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
86;Warendorf  I;112641;70704;1412;1093;69292;69611;33496;31594;20402;18791;7944;8701;4737;5060;-;355;2713;2530;-;136;-;60;-;10;-;52;-;384;-;324;-;47;-;42;-;5;-;25;-;841;-;7;-;17;-;193;-;234;-;34;-;23;-;35;-;111;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
87;Warendorf  II;98415;58346;1042;815;57304;57531;24545;23408;22311;19730;4183;5474;3113;3391;-;383;3152;2902;-;120;-;42;-;8;-;29;-;292;-;241;-;70;-;39;-;5;-;21;-;734;-;12;-;6;-;173;-;246;-;28;-;44;-;49;-;84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
88;Minden-Lübbecke I;117123;65175;1185;1072;63990;64103;26955;24478;26208;24183;4250;5487;2534;3725;-;300;2518;2762;-;260;-;26;-;7;-;280;-;247;-;268;-;65;-;12;-;5;-;29;641;792;-;6;94;45;-;228;790;688;-;36;-;25;-;45;-;104;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
89;Minden-Lübbecke II;129385;71290;1188;1045;70102;70245;22705;21047;32244;28656;6272;8301;3374;4162;-;316;3525;4112;-;308;-;52;-;19;-;181;-;367;-;274;-;88;-;25;-;5;-;31;825;862;-;8;242;88;-;291;915;846;-;40;-;55;-;59;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
90;Herford I;96648;55778;891;768;54887;55010;19787;18179;24917;21419;4126;6078;2417;3146;-;361;2832;3067;-;148;-;47;-;10;-;126;-;299;-;229;-;29;-;24;-;8;-;28;808;789;-;1;-;3;-;276;-;544;-;47;-;45;-;67;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
91;Herford II;98487;56670;1149;982;55521;55688;18605;17265;26085;23430;4737;5870;2163;2838;-;429;3123;3306;-;184;-;32;-;9;-;132;-;320;-;221;-;40;-;12;-;6;-;28;808;736;-;9;-;5;-;202;-;443;-;42;-;30;-;42;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
92;Bielefeld I;92350;57170;906;680;56264;56490;14808;13591;23567;19139;10241;12302;2053;2732;543;436;4846;5523;-;66;-;59;206;36;-;98;-;307;-;144;-;88;-;23;-;3;-;34;-;1004;-;8;-;6;-;256;-;394;-;85;-;74;-;58;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
93;Bielefeld II;113963;66193;1228;1047;64965;65146;24211;21372;27527;24201;5855;7976;2086;3229;-;579;4106;4260;-;115;-;59;-;21;-;267;-;358;-;246;-;23;-;23;-;12;-;61;902;843;-;7;-;14;-;332;-;820;-;41;-;151;-;75;-;61;-;-;-;-;-;-;-;-;-;-;278;-;-;-;-;-;-;-
94;Gütersloh I - Bielefeld III;94168;58917;983;680;57934;58237;21058;19332;23636;20800;7508;8699;2788;3727;-;361;2944;3105;-;94;-;95;-;16;-;118;-;304;-;230;-;47;-;19;-;7;-;43;-;585;-;3;-;9;-;172;-;286;-;37;-;53;-;60;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
95;Gütersloh II;100313;57722;1005;811;56717;56911;22783;21047;20061;19042;7741;7404;2506;3425;-;320;2931;3084;-;176;-;153;-;24;-;165;-;287;-;308;-;61;-;32;-;7;-;33;695;746;-;5;-;5;-;181;-;243;-;28;-;45;-;51;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
96;Gütersloh III;98665;58363;980;853;57383;57510;30332;26508;14783;15154;5715;6284;2680;4273;-;360;2270;2398;-;143;-;142;-;20;-;66;-;340;907;504;-;48;-;37;-;5;-;40;696;614;-;13;-;5;-;119;-;279;-;26;-;32;-;40;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
97;Lippe I;94328;56655;1047;904;55608;55751;19390;17418;25035;21706;4266;6124;2724;3582;-;397;2578;2747;-;134;-;49;-;22;-;366;-;336;-;217;-;50;-;11;-;6;652;415;963;819;-;11;-;9;-;212;-;890;-;30;-;50;-;63;-;87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
98;Lippe II;88058;52693;945;858;51748;51835;18342;15840;23443;21901;4173;5159;1866;2809;-;280;2342;2482;-;131;-;24;-;8;-;181;-;297;-;225;-;47;-;17;-;4;546;370;1036;1093;-;13;-;15;-;185;-;583;-;32;-;24;-;52;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
99;Lippe III;91828;54320;975;816;53345;53504;17260;15586;24145;21542;5392;6557;2095;3146;-;270;2665;2920;-;98;-;55;-;13;-;260;-;257;-;184;-;48;-;20;-;8;775;630;1013;870;-;10;-;3;-;192;-;626;-;45;-;38;-;40;-;86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
100;Paderborn I;117698;69680;1222;1043;68458;68637;39297;35514;14608;15851;6877;6185;3788;4606;-;683;2866;2665;-;143;-;66;-;11;-;84;-;324;1022;555;-;50;-;37;-;3;-;19;-;925;-;13;-;8;-;231;-;331;-;57;-;12;-;60;-;204;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
101;Paderborn II;106241;57427;874;722;56553;56705;25638;23840;13731;14675;8944;7776;2873;3673;532;395;2933;3090;-;69;-;66;-;7;-;166;-;236;466;372;-;41;-;49;-;2;-;38;924;1239;-;17;-;8;-;195;-;285;-;31;-;47;-;36;512;352;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
102;Höxter;116231;68981;1353;1223;67628;67758;35404;32565;19163;18189;4917;5655;3294;4764;-;445;2739;2850;-;137;582;272;207;49;-;56;-;277;1322;727;-;52;-;48;-;7;-;31;-;811;-;10;-;9;-;212;-;397;-;44;-;26;-;60;-;65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
103;Hagen I;105005;58866;1053;712;57813;58154;20205;17964;25443;22621;4763;5907;1916;3121;-;410;2939;3544;-;403;-;21;-;11;-;47;-;517;-;172;-;67;-;23;-;8;-;29;1146;1080;-;7;-;3;-;382;1401;1389;-;25;-;316;-;49;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
104;Hagen II - Ennepe-Ruhr-Kreis III;89828;52152;819;627;51333;51525;16230;15091;24086;21388;4290;4997;2016;2917;833;562;2952;2911;-;163;-;26;-;11;-;104;-;456;-;190;-;50;-;19;-;4;-;21;-;867;-;7;-;10;-;297;926;1171;-;34;-;141;-;36;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
105;Ennepe-Ruhr-Kreis I;108755;68732;1251;928;67481;67804;20563;19513;31537;27662;7582;8502;3209;4091;1222;737;3146;3599;-;138;-;43;-;14;-;86;-;570;-;271;-;69;-;23;-;4;-;40;-;993;-;19;-;10;-;370;-;778;-;46;-;108;-;65;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;222;-
106;Ennepe-Ruhr-Kreis II;96104;58847;1155;811;57692;58036;16562;14636;25265;24474;9001;8114;2413;3090;-;476;4451;3959;-;134;-;43;-;10;-;41;-;568;-;224;-;53;-;25;-;3;-;47;-;878;-;9;-;9;-;411;-;557;-;58;-;119;-;52;-;46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
107;Bochum I;103061;60993;943;797;60050;60196;15283;14088;30612;27109;5854;7645;1723;2383;1002;688;4560;4617;-;142;-;45;-;32;-;27;-;561;-;246;-;66;-;23;-;5;-;24;1016;1265;-;3;-;16;-;360;-;635;-;43;-;75;-;57;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
108;Bochum II;98422;66295;882;695;65413;65600;19085;17889;32261;26822;6179;9563;2327;3161;-;429;3803;4213;-;136;-;44;294;60;-;47;-;462;-;203;-;59;-;20;-;4;-;29;1464;1371;-;9;-;7;-;280;-;590;-;38;-;76;-;55;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
109;Bochum III - Herne II;107381;60264;1257;930;59007;59334;15932;13958;27904;27176;4408;6108;2064;2264;1592;920;5071;4716;-;232;-;24;290;63;-;46;-;491;-;255;-;78;-;20;-;14;-;30;1571;1278;-;8;-;12;-;392;-;1015;-;36;-;106;-;45;-;47;108;-;-;-;-;-;-;-;67;-;-;-;-;-;-;-;-;-
110;Herne I;92631;51267;997;789;50270;50478;12330;11485;25911;24115;3747;4353;1887;2071;-;471;4284;3986;-;635;-;14;-;8;-;33;-;428;-;169;-;58;-;16;-;4;429;141;1682;1129;-;8;-;3;-;303;-;784;-;32;-;158;-;46;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
111;Dortmund I;91521;48280;857;1674;47423;46606;11575;10239;21865;20301;7405;6988;1291;1807;867;637;3861;3853;-;84;-;39;-;10;-;19;-;294;-;117;-;79;-;13;-;1;-;18;-;1092;-;4;-;17;559;418;-;374;-;18;-;95;-;37;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
112;Dortmund II;90417;46671;872;1550;45799;45121;11842;10896;20286;18519;6576;6613;1755;2093;757;563;3763;3775;-;80;-;27;121;50;-;25;-;262;-;99;-;69;-;9;-;2;-;13;-;893;-;3;-;6;504;360;-;362;-;37;-;244;-;41;-;80;-;-;-;-;-;-;-;-;-;-;195;-;-;-;-;-;-;-
113;Dortmund III;119471;68092;1129;2412;66963;65680;19311;17842;30808;28692;7165;7944;2479;3095;885;725;4125;4214;-;134;-;28;87;44;-;27;-;355;-;170;-;42;-;15;-;0;-;29;1119;890;-;13;-;8;984;782;-;428;-;19;-;75;-;43;-;66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
114;Dortmund IV;121284;71676;1033;2294;70643;69382;22475;19964;30901;27763;7520;9326;2733;3896;867;663;4120;4274;-;115;-;43;-;17;-;39;-;366;-;161;-;80;-;17;-;5;-;18;1344;1357;-;6;-;17;683;541;-;483;-;39;-;66;-;59;-;67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
115;Unna I;116013;73297;947;834;72350;72463;23012;21020;32897;30349;7054;8554;2996;4183;1110;844;3693;3942;-;207;-;43;-;19;-;48;-;461;-;263;-;102;-;35;-;7;-;23;1188;1285;-;19;-;6;400;443;-;450;-;31;-;44;-;46;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
116;Unna II;110518;63264;928;779;62336;62485;19857;18628;28993;26908;5094;5840;2393;3171;1164;953;3724;3732;-;182;-;42;-;15;-;66;-;414;-;316;-;86;-;26;-;11;-;24;1111;1230;-;9;-;3;-;232;-;402;-;20;-;96;-;39;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
117;Unna III - Hamm II;99450;58786;974;731;57812;58055;13841;12736;31929;30028;4431;4928;1784;2384;-;709;3750;3761;-;267;-;30;-;15;-;51;-;422;-;251;-;71;-;20;-;8;-;47;1206;1035;-;19;-;4;593;476;-;427;-;20;278;288;-;35;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
118;Hamm I;115815;67126;1041;991;66085;66135;24961;22567;29761;26815;3566;5571;2001;3338;690;643;3621;4157;466;401;-;34;-;16;-;45;-;339;-;251;-;59;-;24;-;7;-;17;1019;1147;-;11;-;3;-;214;-;310;-;33;-;74;-;36;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
119;Soest I;115463;68917;1021;888;67896;68029;33151;27258;21523;21636;6179;7410;2790;4775;-;513;3102;3219;-;148;-;57;-;27;-;69;-;391;-;335;-;50;-;48;-;9;-;31;955;965;-;30;-;15;-;368;-;478;-;54;-;31;-;51;-;61;-;-;-;-;-;-;-;-;-;-;-;-;196;-;-;-;-;-
120;Soest II;117222;67485;1090;996;66395;66489;27761;25421;24438;22092;4994;6511;5104;5778;-;445;3231;3270;-;189;-;46;-;13;-;86;-;334;-;329;-;79;-;32;-;14;-;23;867;947;-;81;-;12;-;343;-;275;-;44;-;19;-;48;-;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
121;Märkischer Kreis I;103498;57724;794;742;56930;56982;22179;19987;23133;20721;3324;4807;2097;3229;1157;779;3214;3513;-;205;-;26;-;21;-;145;739;638;-;241;-;87;-;17;-;12;-;23;808;853;-;10;-;6;-;471;-;905;-;22;-;136;-;93;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;279;-
122;Märkischer Kreis II;106577;59965;1010;792;58955;59173;25886;23118;20815;19511;4976;5179;3052;4076;1095;659;3131;3027;-;237;-;42;-;11;-;110;-;519;-;291;-;52;-;46;-;3;-;35;-;752;-;19;-;14;-;540;-;696;-;41;-;77;-;78;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
123;Märkischer Kreis III;108827;59675;1204;941;58471;58734;22138;19649;23640;21062;4499;5302;4063;4725;-;607;2951;3158;-;211;-;56;-;13;-;252;-;442;-;279;-;40;-;28;-;7;-;41;-;598;-;10;-;9;1180;1148;-;810;-;41;-;112;-;95;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
124;Hochsauerlandkreis I;107336;65452;910;764;64542;64688;32096;29060;21150;19755;4571;5216;2983;4490;-;451;2861;2690;-;159;-;34;-;10;-;43;-;368;-;344;-;60;-;55;-;3;-;34;-;637;-;8;-;9;881;709;-;368;-;40;-;28;-;77;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
125;Hochsauerlandkreis II;101473;62078;1258;951;60820;61127;32493;29231;19049;17624;3462;4444;3019;4075;-;536;2797;2571;-;176;-;40;-;13;-;48;-;295;-;342;-;62;-;61;-;6;-;27;-;619;-;10;-;7;-;375;-;304;-;51;-;51;-;78;-;81;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
126;Siegen-Wittgenstein I;113271;62129;1083;878;61046;61251;24480;21248;22081;21325;6658;6652;2808;3907;-;564;3700;3809;-;225;-;110;408;73;-;447;-;368;-;257;-;65;-;31;-;6;-;57;-;792;-;6;-;7;-;268;911;748;-;42;-;111;-;78;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
127;Siegen-Wittgenstein II;104561;62273;1046;805;61227;61468;25682;22898;23530;22290;5241;5788;2974;3893;-;540;2880;2908;-;227;-;83;-;11;-;217;-;381;-;221;-;72;-;30;-;5;-;65;-;672;-;5;-;9;-;246;920;698;-;32;-;53;-;80;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
128;Olpe;104676;63193;974;748;62219;62445;35011;31935;17331;15980;4465;4593;2745;4240;-;357;2667;2376;-;225;-;50;-;12;-;32;-;310;-;313;-;47;-;61;-;3;-;30;-;650;-;12;-;9;-;320;-;724;-;31;-;44;-;63;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
